Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
GetBTC,Services/Other,Vault Market Invite Code - $5 (save $95),I am selling invite codes to the world famous Vault Market autoshop  for just $5. This is a great deal as normally you would need to pay $100 just to register.  Vault Market has listings for tens o ...,0.01593464385542169 BTC,,,~5/5,
Contingency,Services/Other,Your Own .onion Domain + 1 month Tor hosting (no CP),Hi all   \== I recently leased a server to host a hidden wiki I run; the server is much more powerful than needed to host this one site. |-- So I would like to sublet these services to people who  ...,0.034609656271929835 BTC,Internet,Torland,~5/5,
echo,Services/Other,psychedelic consulting with echo,Any question you have regarding psychedelic exploration  I can probably answer it. I have extensively engaged in the process alone and with friends in multiple countries in all types of set and setti ...,0.0288810684 BTC,,,5.00/5,
fake,Services/Other,NATURAL MEDICINE CONSULTATION,I AM AN EXPERT IN NATURAL THERAPIES. I WILL OFFER A CONSULTATION ABOUT ANY DISEASE  TELL ME: AGE SEX EIGHT WEIGHT DISEASES SYMPTOMS BLOOD OR ANY OTHER ANALYSIS ( IF AVAILABLE ) DRUG USE    ...,0.0823479561538462 BTC,,,4.782/5,
secretsquirrel2,Services/Other,Vault Market invite,Vault Market is a autoshop sells credit/debit cards from all over the world as well as PayPals and fulls. Registration fee is $100 however I can send you an invite for only $2!,0.004055663333333333 BTC,Torland,,~5/5,
passman,Services/Other,(Must Have For ALL Tor Users) Anonymous VPN Software  90 Days Subscription,"ARE YOU USING TOR WITHOUT A VPN? IF YOUR ANSWER IS ""YES"" THEN YOU ARE DOING A BIG MISTAKE!! PLEASE READ EVERYTHING CAREFULLY.  VPN is a very important piece of the puzzle when it comes to online se ...",0.3487293590909091 BTC,,,4.946/5,
echo,Services/Other,Request an ebook,I can convert any book from a physical version to a PDF or TXT version. Contact me for a price quote—it must cover the cost of the book as well as labor.,0.3452585685526315 BTC,,,5.00/5,
mssource,Drugs/RCs,4-FMA...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 1 Kg   Purity:: 99 8% Powder *High Definition   ...,7.5582225319999985 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,200gr. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ...,3.3681170859374996 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,3-FA...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-FA   Quanty:: 1 Kg   Purity:: 99 8% Powder *High Definition    ...,7.670203622941176 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,MDDMV...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDDMV   Quanty:: 500 gram   Purity:: 99 8% Chrystal *High Definitio ...,4.804303127037037 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,3-FA...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-FA   Quanty:: 20 gram   Purity:: 99 8% Powder *High Definition   ...,0.8006436744444447 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-FMC...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMC   Quanty:: 5 gram   Purity:: 99 8% Powder *High Definition   ...,0.17515446789473685 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,MDPBP...!! 10 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPBP   Quanty:: 10 gram   Purity:: 99 8% HCL Powder *High Definiti ...,0.30133114 BTC,World,WORLDWIDE,4.95/5,
rainbowbear,Drugs/RCs,500 gram sample 4-FA 4-Fluoroamphetamine ( Free Shipping ),500 gram sample 4-FA 4-Fluoroamphetamine ( Free Shipping ) Must FE on all international orders. Tracking offered on 100 gram orders and up.,3.132404288666667 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,5gr. 2 FMA FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,0.736322822352941 BTC,China,,5.00/5,
mssource,Drugs/RCs,4-BMC...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-BMC   Quanty:: 500 gram   Purity:: 99 8% Big/Smal Chrystals * Hig ...,5.485003464166666 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,10gr. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ...,1.1274057534374995 BTC,China,,5.00/5,
geoffreygiraffe,Drugs/RCs,0.5 Grams Pure MDPV Powder: Aus/NZ,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.0866778515 BTC,USA,,5.000/5,
geoffreygiraffe,Drugs/RCs,28 Grams α-PVP Powder,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.75347265 BTC,USA,,5.000/5,
mssource,Drugs/RCs,2-FA...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FA    Quanty:: 50 gram  Purity:: 99 8% Powder *High Definition   ...,1.2954921602702705 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,2-MMC...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-MMC   (NOTE: We also have 3-MMC  4-MMC and N-MMC in stock!)   Quanty ...,11.205344746486483 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4F-PVP...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4F-PVP   Quanty:: 50 gram   Purity:: 99 8% HCL Transparent Chrystal ...,0.9362170888888888 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,PENTEDRONE...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentedrone   Quanty:: 200 gram   Purity:: 99 8% Powder/Chrystaline  ...,3.5062832025000006 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,ETHYLPHENIDATE...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Ethylphenidate EP   Quanty:: 500 gram   Purity:: 99 8% Big Chrystal ...,6.470660930000001 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
HigherGroundsNL,Drugs/RCs,500 mg Phenazepam powder - pure as it is!!,NOW 500 MG PHENAZEPAM POWDER 1000 / 500 dosages!  This is a research benzodiazepine to treat with respect!! 0.5 mg does for most people the job  and the elimination half-life is 60 hrs(!). So a 0 ...,0.07960816749999998 BTC,Netherlands,,4.82/5,
MiniDeal,Drugs/RCs,5g - (MPA) Methiopropamine 99%+ purity - Most similar to Meth,Methiopropamine (MPA) is an analog of METHAMPHETAMINE.  If you are looking for METH substitute  you found it Purity of this product is 99%+ !!! So please  use it responsibly! Its a well known che ...,0.18702292875 BTC,EU,Worldwide,4.90/5,
mssource,Drugs/RCs,VEVP...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  VEVP   Quanty:: 5 gram   Purity:: 99 8% HCL Powder *High Definition ...,0.15008033666666667 BTC,World,WORLDWIDE,4.95/5,
geoffreygiraffe,Drugs/RCs,7 Grams Pure MDPV Powder: Aus/NZ,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.6637511252380952 BTC,USA,,5.000/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,MDDMV...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDDMV   Quanty:: 100 gram   Purity:: 99 8% Chrystal *High Definitio ...,1.333629078275862 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-BMC...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-BMC   Quanty:: 50 gram   Purity:: 99 8% Big/Smal Chrystals * High ...,1.097402847058824 BTC,World,WORLDWIDE,4.95/5,
ChinaChem,Drugs/RCs,1500g Ethylone FE custom listing,Only for order of 3000g.  The first order needs to be FE.  1000g reship if parcel is getting sized.  The 3kg will be split in 2x1.5kg parcels.  For a good customer.  WE HAVE 2 KINDS OF ETHY ...,11.576768512222218 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,2-FMA...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FMA    Quanty:: 1 Kg   Purity:: 99 8% Powder *High Definition   ...,7.492179985161289 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
drzheng,Drugs/RCs,250g pure CRYSTAL a-PVP  APVP (improved MDPV alternative) FREE worldwide shipping,250g of pure a-PVP  APVP (improved MDPV alternative) shipped worldwide using discreet methods.  For more info please see our profile.  Please note:  Different batches may have different texture ...,3.609694607209303 BTC,World,Worldwide,4.99/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-FMC...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMC   Quanty:: 1 Kg   Purity:: 99 8% Powder *High Definition    ...,7.5953967360606045 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-BMC...!! 5 RAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-BMC   Quanty:: 5 gram   Purity:: 99 8% Big/Smal Chrystals * High  ...,0.198894188 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,PENTYLONE...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentylone   Quanty:: 200 gram   Purity:: 99 8% Powder * High Defina ...,3.5168381193548393 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
MaximusDecimus,Drugs/RCs,Mephedrone Alternative | 4-MEC | SPECIAL OFFER 1 GRAM for £10,Hello all.  This listing is for a 1 Gram sample of 4-MEC  the product I'm selling is uncut and of very good quality  this is what most people are selling as Mephedrone  It is of very pure quality 9 ...,0.042460996521739125 BTC,UK,United Kingdom,5.00/5,
rc4me,Drugs/RCs,Pentedrone (powder) - 25g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,1.074063257235772 BTC,China,,~5/5,
rc4me,Drugs/RCs,MDPPP - 25g,IUPAC : (RS)-1-(3 4-methylenedioxyphenyl)-2-(1-pyrrolidinyl)-1-propanone  Pure MDPPP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signat ...,1.1616390997520665 BTC,China,,~5/5,
rc4me,Drugs/RCs,Ethylone (bk-MDEA) - 50g,IUPAC : (RS)-1-(1 3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one  Pure Ethylone   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  ...,1.9716100265322576 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (Big Crystals) - 10g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.8219282082113817 BTC,China,,~5/5,
rc4me,Drugs/RCs,4-FMA - 1000g,IUPAC name : (RS)-1-(4-fluorophenyl)-N-methylpropan-2-amine  Pure 4-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ...,12.918817641102361 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,A-PVP (Big Crystals) - 100g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-pentanone  Pure A-PVP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,3.055810740725805 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,MDPPP - 250g,IUPAC : (RS)-1-(3 4-methylenedioxyphenyl)-2-(1-pyrrolidinyl)-1-propanone  Pure MDPPP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signat ...,3.6087535723200004 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
